worksheet,date,count,total,ratio,ma_10,slope,trend
all,2023-08-11,450,2560,0.17578125,,,neutral
all,2023-08-14,466,2560,0.18203125,,,neutral
all,2023-08-15,380,2560,0.1484375,,,neutral
all,2023-08-18,261,2560,0.101953125,,,neutral
all,2023-08-21,279,2560,0.108984375,,,neutral
all,2023-08-23,327,2560,0.127734375,,,neutral
all,2023-08-24,240,2560,0.09375,,,neutral
all,2023-08-25,303,2560,0.118359375,,,neutral
all,2023-08-27,371,2560,0.144921875,,,neutral
all,2023-08-29,428,2560,0.1671875,0.1369140625,,neutral
all,2023-09-01,635,2560,0.248046875,0.144140625,0.0072265625000000056,up
all,2023-09-05,485,2560,0.189453125,0.14488281249999999,0.0007421874999999911,up
all,2023-09-06,425,2560,0.166015625,0.146640625,0.001757812500000011,up
all,2023-09-07,433,2560,0.169140625,0.15335937500000002,0.006718750000000023,up
all,2023-09-11,467,2560,0.182421875,0.160703125,0.007343749999999982,up
all,2023-09-13,403,2560,0.157421875,0.163671875,0.0029687499999999922,up
all,2023-09-14,532,2560,0.2078125,0.175078125,0.011406250000000007,up
all,2023-09-18,476,2560,0.1859375,0.1818359375,0.006757812499999988,up
all,2023-09-19,428,2560,0.1671875,0.1840625,0.002226562500000001,up
all,2023-09-20,374,2560,0.14609375,0.181953125,-0.0021093749999999967,down
all,2023-09-21,235,2560,0.091796875,0.166328125,-0.015625,down
all,2023-09-22,238,2560,0.09296875,0.1566796875,-0.009648437499999996,down
all,2023-09-25,284,2560,0.1109375,0.151171875,-0.005507812499999987,down
all,2023-09-26,191,2560,0.074609375,0.14171875,-0.009453125000000007,down
all,2023-09-27,258,2560,0.10078125,0.1335546875,-0.008164062500000013,down
all,2023-09-28,307,2560,0.119921875,0.12980468750000002,-0.0037499999999999756,down
all,2023-09-29,241,2560,0.094140625,0.1184375,-0.011367187500000014,down
all,2023-10-02,161,2560,0.062890625,0.10613281249999999,-0.012304687500000008,down
all,2023-10-03,109,2560,0.042578125,0.09367187499999999,-0.012460937500000005,down
all,2023-10-05,157,2560,0.061328125,0.0851953125,-0.008476562499999993,down
all,2023-10-06,239,2560,0.093359375,0.0853515625,0.00015625000000001055,up
all,2023-10-09,309,2560,0.120703125,0.088125,0.0027734374999999895,up
all,2023-10-10,336,2560,0.13125,0.09015625000000001,0.002031250000000012,up
all,2023-10-11,382,2560,0.14921875,0.09761718750000001,0.0074609375000000006,up
all,2023-10-12,341,2560,0.133203125,0.100859375,0.0032421874999999933,up
all,2023-10-13,364,2560,0.1421875,0.10308593749999999,0.0022265624999999872,up
all,2023-10-14,295,2560,0.115234375,0.1051953125,0.0021093750000000105,up
all,2023-10-15,263,2560,0.102734375,0.1091796875,0.003984374999999998,up
all,2023-10-19,242,2560,0.09453125,0.114375,0.005195312500000007,up
all,2023-10-20,180,2560,0.0703125,0.1152734375,0.0008984375000000017,up
all,2023-10-23,164,2560,0.0640625,0.11234374999999999,-0.002929687500000014,down
all,2023-10-24,202,2560,0.07890625,0.10816406250000002,-0.004179687499999973,down
all,2023-10-25,149,2560,0.058203125,0.100859375,-0.007304687500000018,down
all,2023-10-27,113,2560,0.044140625,0.09035156250000001,-0.010507812499999991,down
all,2023-10-30,128,2560,0.05,0.08203125,-0.00832031250000001,down
all,2023-10-31,175,2560,0.068359375,0.0746484375,-0.007382812500000002,down
all,2023-11-01,263,2560,0.102734375,0.0733984375,-0.0012500000000000011,down
